	strA	strB	aadD	aadE	rmtA	tlyA	copA	cusA	cusC	pcoB	pcoC	zntA	zosA	czcA	czcB	czcC	czcD	oqxB
s1	92468.93152	28548601.56	137307.9387	0	0	378222.0458	181744.7353	13753934.43	0	87209.10698	1016318.07	0	0	260764.6083	131946.431	0	549105.8379	62912.16741
s2	50402.35962	3316491.348	121109.6936	0	0	366853.4589	3881806.373	16547899.27	0	0	1389127.353	0	0	282490.5305	194021.9031	0	410296.1214	42912.16741
s3	54925.09688	4003177.358	101109.6936	0	0	306853.4589	317162.4994	9753934.427	0	0	1535096.898	0	0	382490.5305	141583.5489	0	413507.8839	48912.16741
s4	351391.4356	9821304.415	1279759.652	1172142.502	0	1298312.302	3092318.17	14761183.27	0	0	704029.6311	121772.486	329176.696	171666.8404	0	0	115328.7046	128084.1569
s5	180458.4247	6039377.295	909863.8869	430774.9374	0	1289362.877	3884378.593	14338052.36	0	0	839650.3416	108520.518	268820.9825	116808.7638	0	0	91198.65386	83965.34156
s6	188200.4567	8057639.514	1691469.805	1520688.457	0	1934932.565	4607799.152	19526249.48	0	0	970304.9558	158520.518	257447.0528	145668.7017	0	0	101198.6539	74380.698
s7	0	702962.2148	0	0	37144.70501	2643187.56	4072789.663	23962381.69	0	0	0	214760.7845	0	179958.7671	200412.5939	186932.0676	265642.7754	74380.698
s8	0	8638252.881	0	0	37144.70501	434522.3349	466399.3255	17773487.66	0	0	0	137144.705	0	149958.7671	221856.754	228048.0765	236270.8039	83965.34156
s9	0	238782.7395	0	0	26482.37705	3142809.733	538293.2456	10517775.58	0	0	0	152105.9035	0	169958.7671	183394.5987	258798.926	164329.6916	74380.698
s10	0	6110208.126	295969.9741	597287.2746	26482.37705	289893.5076	48437.30857	1840037.309	0	0	294330.7618	46894.71491	187607.8393	221856.754	166071.3265	120017.2453	154206.1615	84380.698
s11	0	5082705.71	254741.6299	66231.69507	36482.37705	165393.407	107459.042	7007459.042	0	0	244277.7568	34151.5173	178223.9089	183394.5987	268795.4563	93229.19262	183913.6329	59228.79856
s12	0	4136784.523	122449.6314	594600.7902	46894.71491	1687970.685	1229455.971	10517775.58	0	0	263007.679	416058.0219	207739.4129	248118.8769	248118.8769	121126.3086	121126.3086	131531.109
s13	271202.4581	3507704.468	466559.0844	0	41511.25935	794339.0868	1341931.409	8300227.497	192163.4374	0	305616.6294	41511.25935	193597.661	268891.9542	51063.27798	106331.9452	116078.1031	0
s14	266573.5622	4376720.576	219843.0542	0	36960.24884	884339.0868	1941931.409	10687541.66	151063.278	0	216309.0794	33534.73052	20217.65933	208891.9542	61592.3743	225079.9184	151063.278	0
s15	223626.236	3499836.226	319843.0542	0	38960.24884	864796.0993	2546314.122	12861532.58	100052.2162	0	322316.6294	63020.91756	152136.6055	259891.9542	68880.7255	128579.4941	100273.9157	45574.79384
s16	195509.5567	18020671.15	210929.7068	342899.3407	0	3160550.331	3598461.859	25769484.18	59192.5218	47059.97701	139824.6207	337285.5303	67177.83901	53783.52454	195799.9831	187482.4629	241980.2241	162012.9202
s17	165509.5567	11282430.91	120250.4507	232618.829	0	2115589.345	3315378.922	22355484.18	39192.5218	52059.97701	198385.4721	367285.5303	62191.73645	89783.52454	209252.1193	187482.4629	251980.2241	221762.3756
s18	266573.5622	21155489.34	221387.9259	81783.92162	0	2645367.876	3315378.922	28769484.18	49192.5218	65509.55667	184294.3144	374802.2729	60834.0174	73783.52454	219190.6031	211042.5042	221980.2241	158810.0314
s19	146720.5178	11347885.39	1753912.164	228093.9888	52091.43786	2365537.638	3989421.298	31930584.06	0	0	594026.5278	168491.06	0	0	63537.7402	497750.6548	399270.1473	67354.41309
s20	167223.7984	12894902.06	1768426.846	280510.4213	65509.55667	329043.2968	410725.0915	6766000.849	0	0	493612.8002	148491.06	0	463537.7402	56475.37186	402429.0938	306478.7531	87747.00416
s21	198417.8746	1221103.67	1610670.372	287514.5646	67218.75086	2629328.163	3990785.821	24099486.74	0	0	587805.3978	151438.3235	0	0	40249.09377	406478.7531	302429.0938	70766.90642
s22	197726.9507	9370532.557	563212.847	148731.8753	120987.0448	3792004.717	5277641.291	28643881.53	0	0	469211.7535	458494.8069	0	287811.8507	287811.8507	99372.79304	339878.9026	272360.5577
s23	1677375.504	12867201.14	462793.9426	180278.8031	123926.41	3940899.727	6785037.765	28546062.81	0	0	463276.8022	424689.4795	0	0	255457.8532	89322.66375	334302.3616	307243.8568
s24	1380815.936	10552737.19	406239.3236	125086.1269	106975.2038	4015282.652	6144566.499	35462971.45	0	0	452370.0028	505133.1338	0	0	299372.793	87811.85071	432702.3616	261177.3287
