	pH	Ec	N	OM	NH4	NO3	DOC
s1	8.47	213	0.0615	1.82836	103.05	49.86	3.084081238
s2	8.5	215	0.0625	1.88836	97.44	50.49	2.995
s3	8.46	213	0.0656	1.8862	103.04	52.94	3.084645161
s4	8.36	105.5	0.0773	1.488	40.52	28.74	2.762307692
s5	8.37	105.9	0.0687	1.443	39.52	19.6	2.738655914
s6	8.36	91.19	0.0642	1.538	38.59	18.82	3.418724832
s7	8.36	124.9	0.0772	1.523	124.24	56.94	3.13625
s8	8.37	122.5	0.0778	1.562	124.56	63.16	3.138977778
s9	8.36	127.9	0.0842	1.538	121.47	61.56	3.162206186
s10	8.13	41.44	0.0755	1.54631	59.87	25.45	2.763417722
s11	8.1	44.74	0.0653	1.53631	58.72	25.87	2.814309392
s12	8.12	46.12	0.0708	1.54831	58.51	34.42	2.913440135
s13	8.13	29.84	0.0815	1.824	65.69	53.68	3.214554974
s14	8.1	32.65	0.0819	1.835	65.42	55.03	3.441573705
s15	8.12	35.61	0.0888	1.877	60.25	50.25	3.325190311
s16	8.15	124.9	0.1293	2.359	123.81	98	3.779644351
s17	8.12	126.4	0.1022	2.329	122.72	105.66	3.987251586
s18	8.15	119.42	0.1109	2.369	112.43	99.69	3.942352941
s19	8.35	170.4	0.253	3.825	122.98	108.8	3.91E+14
s20	8.31	164	0.2272	3.856	123	114.65	3.705816514
s21	8.39	170.56	0.217	3.9831	130.72	123	3.801254125
s22	8.05	35.08	0.1572	2.73332	75.92	182.42	2.984707031
s23	8.05	38.87	0.1456	2.78532	80.23	175.26	3.400925197
s24	8.06	32.26	0.1528	2.79632	82.65	184.41	3.736204118
