taxonomy	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15
Ensifer	0.00166169	0.001868444	0.002511678	0.001914389	0.001853128	0.084409219	0.275687266	0.17388774	0.46220997	0.589685275	0.654406922	0.770702198	0.626043342	0.656658243	0.624098323
Pantoea	3.06E-05	6.89E-05	0.000949535	0.000597287	0.000536025	0.017137606	0.017512826	0.019656942	0.005184164	0.008852133	0.047629987	0.038846772	0.029986982	0.014710162	0.010644
Enterobacter	0.000206752	0.00016846	0.000321617	0.000367561	0.000336932	0.085488935	0.058871276	0.0268627	0.012872349	0.00782602	0.044735432	0.02194655	0.024917681	0.004548587	0.004020216
Pseudomonas	0.003514817	0.003744544	0.005758481	0.004678765	0.005061643	0.030262654	0.024955969	0.025469025	0.006838196	0.006424688	0.000796386	0.000459453	0.00031396	0.000520714	0.000842331
Bacillus	0.002557623	0.002764377	0.003522475	0.004165709	0.00353779	0.035952217	0.041549889	0.013125048	0.032912168	0.081752048	0.004265258	0.004043189	0.00310131	0.004035531	0.004181025
Lysobacter	0.007466115	0.008446282	0.009702121	0.008538173	0.006371085	0.00782602	0.005199479	0.009349874	0.021318631	0.002749062	0.003185543	0.001845471	0.003300406	0.002595911	0.002481048
Sphingobacterium	0	0	0	0	0	0	0	0	0	0	1.53E-05	0.002389157	0	0.019220461	0.012328662
Rhizobium	1.53E-05	1.53E-05	3.06E-05	9.95E-05	0.000160805	0.003354009	0.003614366	0.00137836	0.012328662	0.003024734	0.000153151	0.000145494	0.000176118	0.001087365	0.000114859
Acinetobacter	0.001608087	0.001830156	0.001945019	0.001638717	0.001608087	0.025775327	0.02974194	0.016923195	0.0140899	0.022597442	0.024335707	0.012581362	0.035768435	0.028945555	0.029948695
Streptomyces	0.001837813	0.002167088	0.003231488	0.002389157	0.003484187	0.009939505	0.012895321	0.004785971	0.003055364	0.003790489	0.034711693	0.020529903	0.016065549	0.011187687	0.012481813
Pseudoxanthomonas	0.000834674	0.000941879	0.000980167	0.001194579	0.000520714	0.003392297	0.002863925	0.003905353	0.003453557	0.002136458	0.001807183	0.001026112	0.003675626	0.003491845	0.001837813
Anoxybacillus	0.00014549	0.000199092	0.000245036	0.000245038	0.000306302	0.011601195	0.010452562	0.004081476	0.006034153	0.00278735	0.001983307	0.001156291	0.001424305	0.00109503	0.001401333
Sphingomonas	0.000191439	2.30E-05	0.000283326	0.000620256	0.000620262	0.0001072	0.000245042	0.000298643	0.000214406	1.53E-05	7.66E-06	0	0	0.0001072	3.83E-05
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0.000865302	0	0.010452561	0.010337698
Chryseobacterium	0.023661842	0.020307834	0.024557776	0.025147408	0.016854277	0.016884907	0.010980933	0.037292289	0.025116778	0.01418179	0.004640478	0.0031932	0.010360671	0.011019221	0.012198484
Tepidimonas	6.13E-05	8.42E-05	0.00014549	0.000145486	0.000160805	0.01415116	0.011080481	0.002703117	0.005191822	0.007711157	0.00134773	0.000796386	0.00097251	0.000543686	0.001447278
Actinoplanes	0	0	7.66E-06	0	0	7.66E-05	0.000513054	2.30E-05	6.89E-05	0.00023738	0	1.53E-05	0	1.53E-05	0
Xenophilus	3.06E-05	7.66E-06	0	2.30E-05	7.66E-06	0.000390535	0.00023738	0.000513056	0.000712149	0.000827016	3.06E-05	2.30E-05	0.000137832	7.66E-05	0
Adhaeribacter	0.00034459	7.66E-05	0.000467107	0.00092656	0.001018455	0	0	0	0	0	0	0	0	0	7.66E-06
Haliangium	0	0	0	0	0	0	0	0	0	0	0	0	0	8.42E-05	0
Acidibacter	0.00037522	0.000275672	0.000290985	0.000367563	0.000260357	0.002810322	0.00287924	0.002136458	0.006317482	0.001554484	0.000589632	0.000566659	0.001937361	0.002151773	0.001163948
Novosphingobium	0.007052608	0.006493606	0.005482809	0.005130561	0.00287924	0.004073819	0.003644996	0.004357148	0.001937361	0.00175358	6.89E-05	3.06E-05	0.000114861	4.59E-05	0.000107198
Methylobacillus	0.000145488	0.000275672	0.000145488	0.000145486	0.000206754	0.012167854	0.017221839	0.003369324	0.001715292	0.002611226	0.002220691	0.002052225	0.00143962	0.000804043	0.001631059
Arthrobacter	7.66E-05	0.000168464	0.000199092	0.000176118	0.000153147	0.002710774	0.002075197	0.017459223	0.012611992	0.006095413	0.000574317	0.001049085	0.006776935	0.009181407	0.005865686
