taxonomy	kingdom	phylum	class	order	family	genus
Ensifer	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer
Pantoea	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea
Enterobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
Pseudomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Bacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Lysobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
Sphingobacterium	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
Rhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
Acinetobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Streptomyces	Bacteria	Actinobacteria	unidentified_Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Pseudoxanthomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas
Anoxybacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
Sphingomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Stenotrophomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
Chryseobacterium	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Tepidimonas	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas
Actinoplanes	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
Xenophilus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus
Adhaeribacter	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Adhaeribacter
Haliangium	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
Acidibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	unidentified_Xanthomonadales	Acidibacter
Novosphingobium	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Methylobacillus	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylobacillus
Arthrobacter	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter
Glycomyces	Bacteria	Actinobacteria	unidentified_Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces
Bryobacter	Bacteria	Acidobacteria	unidentified_Acidobacteria	Subgroup_3	unidentified_Acidobacteria	Bryobacter
Blastocatella	Bacteria	Acidobacteria	unidentified_Acidobacteria	Subgroup_4	unidentified_Acidobacteria	Blastocatella
Steroidobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	unidentified_Xanthomonadales	Steroidobacter
