	Sphingomonas	Gemmatimonas	Lysobacter	Gaiella	Arenimonas	Phenylobacterium	Aeromicrobium	Sphingobium	Pseudomonas	Nocardioides	Arthrobacter	Aridibacter	Ramlibacter	Adhaeribacter	Ohtaekwangia	Aciditerrimonas	Streptomyces	Lacibacterium	Devosia	Pirellula	Massilia	Opitutus	Nitrospira	Novosphingobium	Flavobacterium	Brevundimonas	Terrimonas	Ilumatobacter	Marmoricola	Klebsiella	Chryseobacterium	Cellvibrio	Pseudoxanthomonas	Chryseolinea	Rhizobium	Armatimonadetes_gp5	Solirubrobacter	Luteimonas	Kofleria	Phycicoccus	Bacillus	Gemmata	Sphingobacterium	Flavisolibacter	Sphingopyxis	Microvirga	Mycobacterium	Acinetobacter	Stenotrophomonas	Pedobacter	Zavarzinella	Luteolibacter	Pontibacter	Lechevalieria	Erythrobacter
s1	0.127191265	0.016225151	0.011183088	0.00374092	0.007617121	0.012745226	0.006655357	0.003218931	0.003566923	0.002870938	0.003001435	0.00417591	0.004610901	0.001000478	0.007481839	0.002826961	0.001043978	0.003610422	0.006611858	0.001913959	0.009569794	0.003088434	0.00230545	0.004743312	0.000956979	0.002136239	0.001696464	0.001348471	0.001522467	0.00187046	0.000434991	0.006794554	0.010874766	0.002131454	0.015611379	0.001696464	0.001217974	0.001130976	0.001913959	0.000347993	8.70E-05	0.000869981	0	0.003523424	0.003305929	0.002174953	0.000565488	0.001783462	0.000956979	0.001522467	0.000391492	0.001130976	0.003610422	0.000608987	0.001113576
s2	0.10187481	0.016921136	0.009569794	0.005785376	0.009743791	0.008177824	0.007525338	0.002957936	0.003001435	0.003784419	0.004219409	0.0046544	0.003871417	0.001435469	0.005654878	0.004088912	0.003523424	0.003958415	0.003044935	0.003392927	0.004871895	0.003697421	0.005611379	0.002957936	0.000739484	0.00326243	0.002044456	0.003088434	0.002000957	0.00278394	0.000217495	0.006698856	0.009613293	0.003044935	0.00139197	0.002392449	0.001304972	0.001252486	0.001348471	0.000782983	0.000652486	0.000869981	8.70E-05	0.001478968	0.003436426	0.001435469	0.000782983	4.35E-05	0.00091348	0.001304972	0.00091348	0.00091348	0.001043978	0.000608987	0.00230545
s3	0.095741442	0.017051633	0.011092262	0.003958415	0.009700291	0.010135282	0.006872852	0.004095132	0.009265301	0.003001435	0.005045892	0.0046544	0.005089391	0.002218452	0.007003349	0.003044935	0.001696464	0.004132411	0.003523424	0.00326243	0.003784419	0.004045413	0.002827439	0.005306886	0.001087477	0.002522946	0.004132411	0.001478968	0.00187046	0.003566923	0.014485189	0.00417591	0.013528209	0.003131933	0.001239723	0.001652964	0.000782983	0.001069646	0.00139197	0.000869981	0.000521989	0.001000478	0.001217974	0.001652964	0.003697421	0.001000478	0.000565488	0.000173996	0.002044456	0.003827918	0.000869981	0.001261473	0.001261473	0.00139197	0.00091348
s4	0.103745269	0.01766062	0.009743791	0.005785376	0.006002871	0.005263387	0.00513289	0.009439297	0.007960329	0.007655835	0.007481839	0.007220845	0.004480404	0.001174475	0.00604637	0.004697899	0.00326243	0.002653443	0.004306407	0.004088912	0.002479447	0.002696942	0.002044456	0.003871417	0.001783462	0.003218931	0.001522467	0.002827439	0.003001435	0.002087955	0.001826961	0.003218931	0.001130976	0.001652964	0.002479447	0.001739963	0.001435469	0.001565966	0.002479447	0.002174953	0.001435469	0.001174475	0.001174475	0.000956979	0.002131454	0.001000478	0.001304972	0.003001435	0.001652964	0.001217974	0.000956979	0.001304972	0.000739484	0.001609465	0.003350385
s5	0.153551699	0.020446474	0.011918744	0.007394841	0.007220845	0.007699334	0.004784897	0.009874288	0.005611379	0.006785854	0.007568837	0.004436905	0.005654878	0.000869981	0.006611858	0.004697899	0.002261951	0.003958415	0.004132411	0.001478968	0.002000957	0.002044456	0.002696942	0.003610422	0.002218452	0.003131933	0.002131454	0.003958415	0.003479925	0.002131454	0.001696464	0.004306407	0.002087955	0.001913959	0.002131454	0.00230545	0.002044456	0.001913959	0.002174953	0.00187046	0.00091348	0.000521989	0.001261473	0.001217974	0.002435948	0.001478968	0.001261473	0.00326243	0.001348471	0.00139197	0.00047849	0.001087477	0.001435469	0.00139197	0.002435948
s6	0.110487625	0.018356605	0.008308321	0.004262908	0.004958893	0.004784897	0.00374092	0.007003349	0.006655357	0.004697899	0.006829353	0.006829353	0.004219409	0.001087477	0.006437862	0.002566445	0.001609465	0.002000957	0.003479925	0.004349906	0.001739963	0.002696942	0.001696464	0.003088434	0.039801644	0.002827439	0.001348471	0.003218931	0.002087955	0.002609944	0.00187046	0.002566445	0.001348471	0.001435469	0.002218452	0.001913959	0.001261473	0.001217974	0.001609465	0.001522467	0.000956979	0.001000478	0.007046848	0.001174475	0.002870938	0.001435469	0.001087477	0.002653443	0.004784897	0.001609465	0.001043978	0.001130976	0.000652486	0.00091348	0.003913959
s7	0.101352821	0.015137675	0.00791683	0.008090826	0.007699334	0.005219888	0.0093088	0.002696942	0.003436426	0.005263387	0.004262908	0.004523903	0.004306407	0.002957936	0.004958893	0.002827439	0.009566923	0.004219409	0.003218931	0.004045413	0.003784419	0.002609944	0.004567402	0.001522467	0.000609944	0.001652964	0.002740441	0.002870938	0.004480404	1.08E-03	0.000434991	0.001217974	0.001087477	0.004828396	0.001435469	0.002261951	0.002131454	0.000434991	0.001913959	0.001087477	0.001304972	0.001435469	0.000173996	0.001130976	0.000956979	0.000956979	0.000782983	8.70E-05	0.000130497	0.000608987	0.001348471	0.001130976	0.002174953	0.00047849	0.002087955
s8	0.098003393	0.014093697	0.008612815	0.006002871	0.006785854	0.006872852	0.010309278	0.002609944	0.003871417	0.006263865	0.005611379	0.004349906	0.005306886	0.00374092	0.004567402	0.001783462	0.008699813	0.003523424	0.002174953	0.00230545	0.004088912	0.003349428	0.003697421	0.001652964	0.000869981	0.002392449	0.00187046	0.002696942	0.004132411	0.001435469	0.000434991	0.001043978	0.000869981	0.002566445	0.001261473	0.002435948	0.002696942	0.00091348	0.001348471	0.002566445	0.00230545	0.001174475	0	0.001957458	0.000521989	0.001217974	0.001000478	0.000347993	4.35E-05	0.000782983	0.000826482	0.00139197	0.00278394	0.000739484	0.009004306
s9	0.087041629	0.017576972	0.006089869	0.009700291	0.004828396	0.007699334	0.008002871	0.00230545	0.003610422	0.007786333	0.0046544	0.004828396	0.004393406	0.004132411	0.005654878	0.002957936	0.01161425	0.003305929	0.003392927	0.001652964	0.00513289	0.002740441	0.002609944	0.001739963	0.000695985	0.001304972	0.002392449	0.003088434	0.004741398	0.000782983	0.000391492	0.001000478	0.001522467	0.002131454	0.000434991	0.002131454	0.003610422	0.000260994	0.001739963	0.002174953	0.002174953	0.000652486	8.70E-05	0.002827439	0.000260994	0.001696464	0.001565966	4.35E-05	4.35E-05	0.000782983	0.000956979	0.000217495	0.000956979	0.001217974	0.000608987
s10	0.099177868	0.02070699	0.011135761	0.014833181	0.004262908	0.007612336	0.002522946	0.010048284	0.01022228	0.005437383	0.002392449	0.001652964	0.008438819	0.003349428	0.003392927	0.005263387	0.004436905	0.00417591	0.003523424	0.001304972	0.003653921	0.003523424	0.002566445	0.002957936	0.003131933	0.001739963	0.00278394	0.004828396	0.002957936	0.002566445	0.019661577	0.002609944	0.000826482	0.002653443	0.001565966	0.003001435	0.003914916	0.00091348	0.003088434	0.001522467	0.001783462	0.000695985	0.001783462	0.001739963	0.000869981	0.001826961	0.004436905	0.000304493	0.001826961	0.001000478	0.000521989	0.000173996	0.00091348	0.001435469	0.000260994
