	Ensifer	Pantoea	Enterobacter	Pseudomonas	Bacillus	Lysobacter	Rhizobium	Acinetobacter	Streptomyces	Pseudoxanthomonas	Anoxybacillus	Chryseobacterium	Tepidimonas	Acidibacter	Novosphingobium	Methylobacillus	Arthrobacter	Glycomyces	Bryobacter	Blastocatella	Steroidobacter	Gaiella	Hyphomicrobium	Chryseolinea	Massilia	unidentified_Nitrospiraceae	Bradyrhizobium	Ohtaekwangia	Roseiflexus	Devosia	Promicromonospora	Serratia	Agromyces	Phenylobacterium	Enterococcus	Flavisolibacter	Methylotenera	Dyadobacter	unidentified_Methylophilaceae	Altererythrobacter	Cellulosimicrobium	Candidatus_Nitrososphaera	Variovorax	Solirubrobacter	Woodsholea	Candidatus_Entotheonella	Sporosarcina	Terribacillus	Illumatobacter	Gemmatimonas	Terrimonas	Chitinophaga	Bifidobacterium	Lysinibacillus	Modestobacter	Nocardioides	unidentified_Gemmatimonadetes	Methylophilus	Iamia	Opitutus	Aeromicrobium	Pseudonocardia	Aquicella	Polycyclovorans	Bosea	Marmoricola	Paenibacillus	Microvirga	Skermanella	Sorangium	Cellvibrio	Candidatus_Glomeribacter	Flavobacterium	Pedomicrobium	Niastella	Ramlibacter	Haloferula	Parasegetibacter	unidentified_GR-WP33-30	Variibacter	Kribbella	Lysinimonas	Exiguobacterium	Rhizocola	Bdellovibrio	Escherichia-Shigella	Dongia	Paucibacter	Fictibacillus	Candidatus_Alysiosphaera	Nordella	Sphingopyxis	Mycobacterium	Simiduia	Parafilimonas	Domibacillus	Reyranella	Polyangium	Ferruginibacter	Solitalea	Staphylococcus	Luteibacter	Blautia	Blastococcus	Acidovorax	Dechloromonas	Rhizobacter	Cellulomonas	unidentified_Cytophagaceae	Corynebacterium_1	Marinicella	Nitrosospira	Actinophytocola	Euzebya	Paracocccus	Rubellimicrobium	AKYG587	Aquabacterium	Niabella	Sporocytophaga	Nitrolancea	Luteolibacter	Agaricicola	Prosthecobacter
Ensifer	0	0.803571428571429	0	0	0	0	0	0	0.821428571428571	0	0	-0.7	0	0	-0.914285714285714	0	0	-0.892857142857143	-0.960714285714286	0	0	-0.978571428571429	-0.821428571428571	0	-0.864285714285714	0	-0.960714285714286	0	-0.957142857142857	0	-0.907142857142857	0	0.743521297788961	0	-0.917857142857143	0	0	0	0	0	0	-0.767857142857143	-0.882142857142857	0	-0.899647355829481	0	0	-0.896428571428571	-0.884718851936384	0.714285714285714	-0.721428571428571	-0.925	-0.94191279792015	0	0	-0.839285714285714	-0.893655405996347	-0.882142857142857	0	-0.974916656516409	0	-0.957142857142857	0	0.842857142857143	-0.929157324317757	0	-0.775	-0.917857142857143	-0.878571428571429	-0.872207676252435	-0.782142857142857	-0.732142857142857	0	0	0	0	-0.903571428571429	-0.96157321685207	-0.841823392448559	-0.946428571428571	-0.846428571428571	0.7	0	-0.978571428571429	0	-0.957142857142857	-0.96157321685207	-0.859696500568486	0	0	0	-0.896428571428571	-0.939178604746138	0	0	0	0	-0.971428571428571	0	0	-0.9	0	-0.926656223349523	-0.845398014072545	-0.861483811380479	-0.910714285714286	-0.964285714285714	0	0	0	-0.717857142857143	-0.92225237898823	0	0	0	-0.956211284416092	0	-0.925827000612216	0	0	0	-0.940967516374226	-0.853571428571429	0
Pantoea	0.803571428571429	0	0.85	0	0	0	0	0	0.925	0	0	0	0	0	0	0	0	0	-0.775	0	0.763181716720881	-0.742857142857143	0	0	0	0	-0.767857142857143	0	-0.732142857142857	0	0	0	0.834674149200588	0	-0.703571428571429	0.764285714285714	0.750670541036932	0	0	0	0	0	0	0.835714285714286	-0.813625297901562	0	0	-0.735714285714286	0	0.725	0	-0.753571428571429	-0.716711635609071	0	0	0	0	0	0.805010232639547	-0.795704035833246	0	-0.775	0	0	-0.724670963367517	0	0	0	0	-0.816801041080661	0	0	0	0	0	0	0	-0.750670541036932	0	-0.821428571428571	-0.714285714285714	0.810714285714286	0	-0.825	0	-0.728571428571429	-0.738159365352983	0	0	0	0	0	-0.733453767516032	0	0	0	0	-0.75	0	0	0	0	0	0	-0.722073568045049	0	-0.810714285714286	0	0	0	0	-0.707775081549107	0.704200459925122	0	0	-0.748883230224939	0	-0.732797432917005	0	0	0	-0.810376967523811	0	0
Enterobacter	0	0.85	0	0	0.7	0	0.748883230224939	0	0.725	0	0.9	0	0.832142857142857	0.742857142857143	0	0.863271122192471	0	0	0	0	0.773905581592837	0	0	0	0	0	0	0	0	0	0	0	0.722073568045049	0	0	0.853571428571429	0.902591960056311	0.8	0	0.80250255458472	0	0	0	0.882142857142857	0	0	0.814285714285714	0	0	0	0	0	0	0.767857142857143	0	0	0	0	0.958856632655105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.739285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.820375662704647	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.771428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.85	0	0	0.707142857142857	0	0	0	0.892857142857143	0	0	0	0	0.817857142857143	0	0	0	0	0	0	0	0	0	0.935714285714286	0	0	0	0	0	0.810714285714286	0	0	0	0.707142857142857	0	0.707142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807142857142857	0	0	0	0	0	0.792857142857143	0	0.707775081549107	0.731010122105012	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	0	0	0.7	0	0	0	0.781054824840808	0	0	0	0.864285714285714	0	0.892857142857143	0	0	0.795353311336749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.746428571428571	0	0.841823392448559	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0.782142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.710714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0.856121878944501	0	0	0	0	0	0	0	0	0	-0.735714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysobacter	0	0	0	0	0	0	0	0	0	0	0	0.860714285714286	0	0	0.764285714285714	0	0	0.7	0	0	0	0	0.789285714285714	0	0.764285714285714	0	0.714285714285714	0	0.746428571428571	0	0	0	0	0	0.721428571428571	0	0	0	0	0	0	0.775	0.732142857142857	0	0.74552450204196	0	0	0.710714285714286	0.731010122105012	0	0	0.739285714285714	0	0	0	0.732142857142857	0.770330959968851	0	0	0	0	0.746428571428571	0	0	0	0	0.703571428571429	0	0.8	0	0.775	0.714285714285714	0.721428571428571	0	0	0	0.760714285714286	0.713137013985085	0.700625838301136	0.742857142857143	0.807142857142857	0	0	0.7	0	0.75	0	0	0	0	0	0.778571428571429	0.720931386119417	0	0	0	0.864285714285714	0	0	0	0	0	0	0.831099527576603	0.789991378900771	0.707142857142857	0.717857142857143	0	0	0	0	0	0	0	0	0	0	0.727435500481027	0	0	0	0	0.817857142857143	0
Rhizobium	0	0	0.748883230224939	0	0.781054824840808	0	0	0	0	0.723860878857041	0.902591960056311	0	0.870420365440442	0.84897263569653	0	0.746869409660107	0.718498946421063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.881144230312398	0	0.838103756708408	0	0	0	0	0	0	0.823950284328632	0	0	0	0	0	0	0.764969027532873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.757602862254025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755813953488372	0	0	0
Acinetobacter	0	0	0	0	0	0	0	0	0.734584743728998	0.745308608600954	0	0	0	0	0	0	0	-0.707775081549107	0	0	0.800536672629696	-0.752457851848924	0	0	0	0	0	0	-0.711349703173092	0	0	0.75603247347291	0.87298747763864	0	0	0.768543649156859	0	0	0	0	0	0	0	0.804289865396713	0	0	0.748883230224939	-0.705987770737114	0	0.75603247347291	0	0	-0.717352415026834	0.716711635609071	0	0	0	0	0	0	0	0	0	0.766756338344866	0	0.879248658318426	0	0	0	-0.728085867620751	0	0	0	0	0	0	0	-0.731663685152057	0	-0.700625838301136	0	0.7828421356528	0	-0.747095919412946	0	0	0	0	0.745308608600954	0	0	0	0	0	0	0	0	-0.722073568045049	0	0	0	0	-0.753805136458399	0	0	-0.748883230224939	0	0	0	0	0	-0.708407871198569	0.73613595706619	0	0	0	0	-0.737030411449016	0	0	0	0	0	0.923008427183622
Streptomyces	0.821428571428571	0.925	0.725	0	0	0	0	0.734584743728998	0	0	0	-0.821428571428571	0	0	-0.8	0	0	-0.728571428571429	-0.807142857142857	0	0.815013730268669	-0.782142857142857	-0.7	0	0	0	-0.814285714285714	0	-0.821428571428571	0	0	0	0.873994987064428	0	-0.807142857142857	0	0	0	0	0	0	-0.725	0	0.85	-0.853052074451858	0	0	-0.789285714285714	0	0.732142857142857	0	-0.775	-0.745308608600954	0	0	0	-0.777480203216822	0	0	-0.824378055142552	0	-0.842857142857143	0	0	-0.721083483350846	0	0	-0.7	0	-0.845398014072545	0	0	0	0	0	0	-0.782142857142857	-0.813226419456676	0	-0.9	-0.796428571428571	0.917857142857143	0	-0.871428571428571	0	-0.8	-0.788204068088778	-0.720286257233056	0	0	0	-0.767857142857143	-0.801432409383371	0	0	0	0	-0.775	0	0	-0.732142857142857	0	-0.737031590772208	-0.770330959968851	-0.843610703260552	-0.742857142857143	-0.857142857142857	0	0	0	0	-0.777480203216822	0	0	0	-0.791778689712764	0	-0.798927932960734	0	0	0	-0.842577376829393	-0.725	0.708409004722802
Pseudoxanthomonas	0	0	0	0	0	0	0.723860878857041	0.745308608600954	0	0	0.721428571428571	0	0	0.860714285714286	0	0	0.935714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.760714285714286	0	0.759607095096895	0	0.75	0	0.764285714285714	0	0	0	0	0	0	0	0	0.864285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.852547257320515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0.842857142857143	0.861483811380479	0	0	0	0	0	0	0	0	0	0	0	0	0.91510313574026	0	0	-0.782142857142857	0	0	0	0	0	0.710714285714286	0	0	0	0.723860878857041	0	0	0.783543293102493
