ID	BM_SRS013506	BM_SRS015374	BM_SRS015646	BM_SRS017687	BM_SRS019221	BM_SRS019329	BM_SRS020336	BM_SRS022145	BM_SRS022532	BM_SRS045049	TD_SRS011243	TD_SRS013234	TD_SRS014888	TD_SRS015941	TD_SRS016086	TD_SRS016342	TD_SRS017713	TD_SRS019219	TD_SRS019327	TD_SRS043663
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Actinobacteria	1.33609	2.90435	0.45117	6.7964	14.08966	2.30709	7.30108	0.53534	3.57207	8.47622	7.07037	17.30722	30.62601	10.04726	10.25261	10.23122	17.48814	12.68363	4.68976	9.01097
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.33609	2.90435	0.45117	6.7964	14.08966	2.30709	7.30108	0.53534	3.57207	8.47622	7.07037	17.30722	30.62601	10.04726	10.25261	10.23122	17.48814	12.68363	4.68976	9.01097
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	1.33235	2.90435	0.44821	6.69938	14.06978	2.30709	7.16976	0.53506	3.57092	8.45963	7.04142	16.97365	30.57575	8.98475	9.77632	9.53902	17.19257	10.5724	4.40717	8.92548
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.11797	0.56928	0.01312	0.73443	6.42214	1.5355	1.41383	0.10187	1.52626	2.30531	0.31472	1.07901	2.78502	1.78007	1.86155	1.26367	3.14322	4.53099	1.4532	0.731
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.11797	0.56928	0.01312	0.73443	6.42214	1.5355	1.41383	0.10187	1.52626	2.30531	0.31472	1.07901	2.78502	1.78007	1.86155	1.26367	3.14322	4.53099	1.4532	0.731
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.0161	0.00063	0.00978	0.13477	0.2406	0.02109	0.23205	0.01339	0.02795	0.28783	0.30929	0.94394	2.73203	1.77325	1.85603	1.20772	3.04887	4.51155	1.44169	0.72112
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	0.04402	0.21493	0.00029	0.30822	4.02687	0.50847	0.56612	0.03773	0.86761	1.46977	0.00178	0.0896	0.02776	0.00273	0.00213	0.03085	0.04918	0.01223	0.00504	0.00266
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	0.05785	0.35372	0.00305	0.29145	2.15468	1.00594	0.61566	0.05076	0.6307	0.54772	0.00365	0.04547	0.02523	0.00408	0.00338	0.02509	0.04516	0.00721	0.00648	0.00722
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.00702	0.08409	0.00343	3.02423	0.0057	0.04618	0.64512	0.03343	0.21306	1.98554	0.00146	0.05955	0.07595	0.0	0.0	0.09348	0.53709	0.00393	0.00621	0.00071
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.00702	0.08409	0.00343	3.02423	0.0057	0.04618	0.64512	0.03343	0.21306	1.98554	0.00146	0.05955	0.07595	0.0	0.0	0.09348	0.53709	0.00393	0.00621	0.00071
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	0.00702	0.08409	0.00343	3.02423	0.0057	0.04618	0.64512	0.03343	0.21306	1.98554	0.00146	0.05955	0.07595	0.0	0.0	0.09348	0.53709	0.00393	0.00621	0.00071
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	1.20067	2.22524	0.43165	2.84765	7.62813	0.5905	5.05182	0.36275	1.36091	4.15618	6.68071	15.74537	27.57726	7.1815	7.87515	8.13179	13.46546	5.9722	2.90846	8.13653
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	1.20067	2.22524	0.43165	2.84765	7.62813	0.5905	5.05182	0.36275	1.36091	4.15618	6.68071	15.74537	27.57726	7.1815	7.87515	8.13179	13.46546	5.9722	2.90846	8.13653
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.16135	1.68747	0.23067	1.43165	7.36408	0.35059	2.08274	0.23733	0.5914	2.93568	0.15715	0.15316	0.03365	0.01618	0.01523	0.32257	0.17837	0.01378	0.00188	0.04585
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	1.03932	0.53776	0.20099	1.41601	0.26405	0.23991	2.96908	0.12542	0.76951	1.22051	6.17183	15.59221	27.54361	5.014	6.97033	7.80922	9.66944	5.95842	2.90658	7.54685
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35172	0.0	0.0	2.15131	0.8896	0.0	3.61766	0.0	0.0	0.54384
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae	0.00669	0.00608	0.0	0.03241	0.01381	0.0	0.04274	0.0	0.0	0.00699	0.04341	0.08274	0.13268	0.02319	0.03962	0.04713	0.03502	0.06527	0.03591	0.05691
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium	0.00669	0.00608	0.0	0.03241	0.01381	0.0	0.04274	0.0	0.0	0.00699	0.04341	0.08274	0.13268	0.02319	0.03962	0.04713	0.03502	0.06527	0.03591	0.05691
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_unclassified	0.00669	0.00608	0.0	0.03241	0.01381	0.0	0.04274	0.0	0.0	0.00699	0.04341	0.08274	0.13268	0.02319	0.03962	0.04713	0.03502	0.06527	0.03591	0.05691
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	0.01966	0.0	0.06066	0.0	0.13491	0.01624	0.037	0.47068	0.00561	0.00113	0.00699	0.00484	0.0	0.0	0.00295	0.01179	0.0	0.00338	0.00033
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.0	0.01966	0.0	0.06066	0.0	0.13491	0.01624	0.037	0.47068	0.00561	0.00113	0.00699	0.00484	0.0	0.0	0.00295	0.01179	0.0	0.00338	0.00033
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0	0.01113	0.0	0.05476	0.0	0.08323	0.01624	0.03141	0.47068	0.00561	0.00088	0.00556	0.00252	0.0	0.0	0.00247	0.01179	0.0	0.00139	4e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_unclassified	0.0	0.00853	0.0	0.0059	0.0	0.05168	0.0	0.0056	0.0	0.0	0.00025	0.00142	0.00232	0.0	0.0	0.00048	0.0	0.0	0.00199	0.00029
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0	0.0	0.0	0.00448	0.0	0.0	0.02721	0.0	0.0	0.0	0.00068	0.00076	0.0021	0.00933	0.00068	0.00086	0.00134	0.0	0.007	0.00108
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0	0.0	0.0	0.00448	0.0	0.0	0.02721	0.0	0.0	0.0	0.00068	0.00076	0.0021	0.00933	0.00068	0.00086	0.00134	0.0	0.007	0.00108
