,PCoA1,PCoA2,names
A-low-1-1,-0.335531384898147,-0.202674357710812,A-low-1-1
A-low-1-2,-0.331846306887869,-0.206471112939334,A-low-1-2
A-low-1-3,-0.335191042017875,-0.209166610891066,A-low-1-3
A-low-2-1,-0.33800523966296,-0.206240244942964,A-low-2-1
A-low-2-2,-0.336698368787451,-0.209056541014517,A-low-2-2
A-low-2-3,-0.337769660235735,-0.206976902063353,A-low-2-3
A-low-3-1,-0.338019683135111,-0.205184663046676,A-low-3-1
A-low-3-2,-0.33131822777782,-0.207222605934266,A-low-3-2
A-low-3-3,-0.336938043766915,-0.206391458363052,A-low-3-3
A-low-4-1,-0.322885387403756,-0.197115101711839,A-low-4-1
A-low-4-2,-0.322701596540874,-0.190609897204617,A-low-4-2
A-low-4-3,-0.330575269571706,-0.198194567070444,A-low-4-3
A-high-1-1,-0.302054450133818,-0.174368666366532,A-high-1-1
A-high-1-2,-0.328878215591989,-0.184394940879172,A-high-1-2
A-high-1-3,-0.324095869289644,-0.182270836592439,A-high-1-3
A-high-2-1,-0.331006911562047,-0.187068274648257,A-high-2-1
A-high-2-2,-0.326131267254096,-0.179284846328407,A-high-2-2
A-high-2-3,-0.331856927429238,-0.189407715411581,A-high-2-3
A-high-3-1,-0.336188077781848,-0.198362843197026,A-high-3-1
A-high-3-2,-0.332421558449717,-0.19331939570281,A-high-3-2
A-high-3-3,-0.281985799342839,-0.163266150605425,A-high-3-3
A-high-4-1,-0.329421892943083,-0.186005626972189,A-high-4-1
A-high-4-2,-0.324892857463442,-0.196572302159676,A-high-4-2
A-high-4-3,-0.332650416050592,-0.194169294100754,A-high-4-3
B-low-1-1,-0.161628979028007,0.0702467537644363,B-low-1-1
B-low-1-2,-0.142928114311001,0.0570501461534101,B-low-1-2
B-low-1-3,-0.148849919025046,0.0458127921636125,B-low-1-3
B-low-2-1,-0.146308184420278,0.135005144212135,B-low-2-1
B-low-2-2,-0.140772516720717,0.15137656383869,B-low-2-2
B-low-2-3,-0.169596411826923,0.170279154345976,B-low-2-3
B-low-3-1,-0.166402821670803,0.17360498077898,B-low-3-1
B-low-3-2,-0.15270531258424,0.185066707294243,B-low-3-2
B-low-3-3,-0.158866203695942,0.164329921959041,B-low-3-3
B-low-4-1,-0.131955878412504,0.214254604111693,B-low-4-1
